id,title,original_title,release_date,year,vote_average,vote_count,popularity,overview,genres,director,poster_path,backdrop_path,runtime,status,production_companies
1512635,Menjadi Utuh Dan Asli,Neither Perfect Nor Imperfect,2025-07-13,2025,0.0,0,0.02,"Miko, yang baru saja dipecat dari pekerjaannya dan dikucilkan oleh orang tuanya, bertemu dengan sosok dalam dirinya versi kanak-kanak, yang datang untuk menuntut permintaan maaf karena pernah ia abaikan di masa lalu.",Drama,Jerell Michael Cussoy-Poluan,https://image.tmdb.org/t/p/w500/eQEydYvn9bAp2Wrk7rFJAJfwLDJ.jpg,https://image.tmdb.org/t/p/original/epDTuiqlfNmqdioyZCCx9bvKYJX.jpg,25,Released,Diplomasinema
1491018,Nawasena,Nawasena,2025-04-24,2025,10.0,1,0.01,"Hana ingin masuk SMA, tapi ibunya, Dahlia, ingin dia masuk SMK. Hana mengikuti keinginan ibunya dan akhirnya terlibat dalam lomba desain di sekolahnya. Namun, dia melakukan plagiarisme yang menimbulkan konflik dengan temannya, Alina. Azriel, teman lainnya, membantu Hana dan mereka semakin dekat. Perdebatan antara Hana dan ibunya memuncak, tapi akhirnya Hana menemukan mimpinya yang baru dan berhasil membanggakan ibunya dengan memenangkan lomba fotografi.","Drama, Keluarga",Lula Janatin Alfafa,https://image.tmdb.org/t/p/w500/2xK6UO8enIbFgnYt88eXzc9AkgB.jpg,https://image.tmdb.org/t/p/original/w3Fat3qJdByEp8uuhBVVOkzsEod.jpg,36,Released,THREESPIRE STUDIOS
1292032,Misteri Rumah Darah,Misteri Rumah Darah,2025-03-06,2025,0.0,0,0.2,"Shafeera, a rising host, is given the chance to host the remake of Percaya Ngga Percaya. While studying old footage, she discovers an unaired tape labeled ""Rumah Darah,"" leading to disturbing paranormal events that threaten her life. As she investigates the mystery behind Rumah Darah, she uncovers dark secrets from the past that put her soul at risk.","Kengerian, Kejahatan",Andi A. Manoppo,https://image.tmdb.org/t/p/w500/6xghYbKVULbefQrUXKLQTlJnOTq.jpg,,91,Released,"Avantgarde TV Official, Cinema Delapan"
1163980,Made in Bali,Made in Bali,2025-02-20,2025,7.0,2,0.18,A young man from a family of Balinese puppeteers must choose between a sensible arranged marriage or take a chance with his childhood best friend.,"Drama, Percintaan",Johar Prayudhi,https://image.tmdb.org/t/p/w500/dShnI8pl1wtVEt5y8K1AizwEX2Y.jpg,https://image.tmdb.org/t/p/original/lffE9qv3h9bPnucFVFRXCwOwTJR.jpg,94,Released,Josh Pictures
1488099,Hotel Sakura,Hotel Sakura,2025-07-10,2025,0.0,0,0.25,"Sarah hidup dalam bayang-bayang masa lalunya sejak sang ibu tewas. Terjebak dalam rasa bersalah, Sarah bertemu seorang pria yang menawarkan opsi spiritual untuk menjawab keinginannya untuk berjumpa dengan sang ibu. Yang Sarah tak tahu, dia telah membuka pintu teror yang lebih besar. Keinginan untuk menebus kesalahan perlahan berubah menjadi petaka, dan dunia nyata mulai kehilangan batas dengan dunia arwah.",Kengerian,Krishto D. Alam,https://image.tmdb.org/t/p/w500/lWd1GRSHk3FhXG6QKdYeU6sI2kG.jpg,https://image.tmdb.org/t/p/original/uoDVkHQVGvOFpwDswIY3C3W6oL2.jpg,100,Released,"Kakaktua Pictures, HERS Productions"
1367947,Gowok: Kamasutra Jawa,Gowok: Kamasutra Jawa,2025-06-05,2025,8.8,4,1.98,"Set in 1960s Java, a young Javanese woman betrays her teacher, falls in love and must face dire consequences.","Drama, Sejarah, Percintaan, Cerita Seru",Hanung Bramantyo,https://image.tmdb.org/t/p/w500/k5nijiJPCn7cFF4KMEkHXnUIgEg.jpg,https://image.tmdb.org/t/p/original/61hELeZSqazLkvJgtraCfJq7DPx.jpg,132,Released,"MVP Pictures, Dapur Film"
1261555,Setetes Embun Cinta Niyala,Setetes Embun Cinta Niyala,2025-03-31,2025,5.7,23,0.86,"Niyala adalah seorang wanita muda yang berhasil mewujudkan mimpinya menjadi seorang dokter.  Namun, ayahnya mengatur pernikahannya dengan Roger, putra orang terkaya di desa, untuk melunasi hutang keluarga dan ini membuat kehidupan Niyala menjadi kacau. Namun, pernikahan ini mungkin satu-satunya cara untuk menyelamatkan keluarga Anda.","Drama, Percintaan",Anggy Umbara,https://image.tmdb.org/t/p/w500/iolOzpZILKFf2Ve88VnaKwU4DEg.jpg,https://image.tmdb.org/t/p/original/wk0vWuxCNKmFWHhaqEAtBVRhUkY.jpg,114,Released,"MD Pictures, Umbara Brothers Film"
962626,Warkop DKI Kartun,Warkop DKI Kartun,2025-06-26,2025,5.8,2,0.3,"The Warkop trio — Dono, Kasino, and Indro — are dragged into the most daring mission yet: disguise themselves as Indonesian national team players in a World Cup qualifier to sabotage a match in the fictional country of West Korea and stop a conspiracy that could trigger a nuclear war. But saving the world is only a small part of their job as CHIPS agents. They also have to hunt down their own rebellious robots; and transform into elementary school children to uncover a national exam cheating scandal.","Animasi, Komedi, Cerita Fiksi, Fantasi",Rako Prijanto,https://image.tmdb.org/t/p/w500/yisiL4mVnnT3vsE0hLFY9kuAN6M.jpg,https://image.tmdb.org/t/p/original/RUlKr0zgJj5OLElnVgTFhgsJ9d.jpg,79,Released,Falcon Pictures
1285728,A Normal Woman,A Normal Woman,2025-07-23,2025,6.1,42,15.16,"Saat sebuah penyakit tak dikenal mulai mengacaukan kehidupannya, seorang sosialita harus mengungkap misteri di balik penyakit ini—sebelum ia menjadi gila sepenuhnya.","Drama, Cerita Seru, Kengerian",Lucky Kuswandi,https://image.tmdb.org/t/p/w500/3XNtKiE4jzYi5A9Q3DRTiQsoXID.jpg,https://image.tmdb.org/t/p/original/u406tzmoD60CmCqGbSRLE2bifmT.jpg,110,Released,Soda Machine Films
1488121,Selasih Ireng,Selasih Ireng,2025-07-10,2025,0.0,0,0.2,"Terjebak dalam keadaan ekonomi keluarga yang buruk, Asih yang lugu terpaksa bekerja sebagai wanita penghibur di tempat prostitusi milik mami Della yang licik. Cercaan dan perundungan di tempat kerjanya membuat Asih putus asa, sehingga Asih menempuh jalan sesat: mengamalkan ilmu hitam Selasih Ireng; yang menuntut banyak tumbal. Ketika seorang pemuda yang mencuri hatinya datang, Asih dihadapkan pada pilihan di antara cinta dan kesuksesan duniawi, sambil bertahan di tengah serangan teror Mami Della dan ilmu Selasih Ireng itu sendiri.",Kengerian,Tondi Hasibuan,https://image.tmdb.org/t/p/w500/d2D6MmIpoM9heDwoZTZcL3bYfDE.jpg,,0,Released,Dragon motion picture
1438572,GAMANG,GAMANG,2025-02-09,2025,0.0,0,0.21,"Kisah Surealis mengikuti Davies yang mencoba menghadapi masa depannya yang berupa lautan, namun rasa takut menguasainya.",,Nazril Akmal,https://image.tmdb.org/t/p/w500/8mZjm08015963IljrS6YkNqww1C.jpg,,5,Released,SINEAS ABSOLUT
1511733,Anak Jerapah,Anak Jerapah,2025-05-12,2025,0.0,0,0.19,"Ruth (25), seorang penjaga playground anak tiba-tiba dihadapkan dengan tanggung  jawab dari Tono (45), sang ayah untuk mengurus , Krisna (8) adik dari ibu yang  berbeda. Ia pun harus memilih antara pergi mengejar cita-cita karirnya atau  menolong dan mengurus anak itu.","Keluarga, Drama",Ilham Bagus Mahendra,https://image.tmdb.org/t/p/w500/q1WqxHNBtiGFZLEHO19YavxFbkC.jpg,https://image.tmdb.org/t/p/original/c6RYUweZgs7pNSlBKsToLEh4ZPu.jpg,25,Released,Rupa Rupa Films
1505882,KAR,KAR,2025-07-02,2025,0.0,0,0.26,"Sehari sebelum peringatan seribu hari kematian suaminya, Kar, seorang wanita tua, menerima kabar bahwa orang lain telah bermimpi melihat suaminya bersama seorang wanita misterius. Sementara itu, Kar belum pernah didatangi suaminya dalam mimpi. Lalu, Kar memutuskan untuk tidur sebentar, menanti saat terakhir ketika suaminya akan datang kepadanya dalam mimpi, sebelum kepergiannya untuk seribu hari.  Perjalanan Kar menuju hari ke-seribu kematian suaminya membawanya lebih dalam ke dalam distorsi esensi, identitas, dan waktu.",Drama,Shohipul Ma'ruf,https://image.tmdb.org/t/p/w500/o91ouH8ffh0PC2ITVwHL2dJwxYe.jpg,https://image.tmdb.org/t/p/original/9awhCu2CYnwRtGW1VNqBhxmb92H.jpg,21,Released,Team Creative Multimedia
1502632,Kamu Mau Jadi Apa?,Kamu Mau Jadi Apa?,2025-06-23,2025,8.0,1,0.22,Kamu Mau Jadi Apa? adalah film pendek yang menyuarakan tentang kepercayaan masyarakat untuk menjadi polisi.,,Syahra Nurvita,https://image.tmdb.org/t/p/w500/k3LJi01W8mGGfkxcgAajATRRG8J.jpg,https://image.tmdb.org/t/p/original/p7sfv7QksLVfDDdGUtLUQ9vwH4W.jpg,0,Released,
1499565,Gak Nyangka..!!,Gak Nyangka..!!,2025-07-24,2025,0.0,0,0.41,Belum diketahui.,"Drama, Komedi",Jeihan Angga,https://image.tmdb.org/t/p/w500/lIzPEsUeTmYpVj9bgeZoFskXBa6.jpg,https://image.tmdb.org/t/p/original/1SrfY5wYN6C9t29WKYv6cRljtXc.jpg,102,Released,Ibuzz Entertaiment
1393069,The Most Beautiful Girl in the World,The Most Beautiful Girl in the World,2025-02-13,2025,6.7,30,1.92,"Demi warisan, seorang pria mata keranjang membuat acara perjodohan untuk memenuhi permintaan terakhir ayahnya yang ingin putranya itu menikahi gadis tercantik di dunia.","Komedi, Drama, Percintaan",Robert Ronny,https://image.tmdb.org/t/p/w500/iIfL2XV0tVZzRezrYok5YTQt51K.jpg,https://image.tmdb.org/t/p/original/wVLPPX2DXQmfkzDe6MOsJJfbKEX.jpg,122,Released,"Paragon Pictures, Moviesta Pictures Production"
1403688,Agen +62,Agen +62,2025-07-03,2025,5.5,2,0.4,"Dito dan Martha adalah dua agen rahasia dari PUANAS (Pusat Usaha Nasional), badan intelijen paling bawah di Indonesia. Namun karena statusnya yang rendah, data mereka luput dari peretasan besar-besaran yang membocorkan informasi rahasia di seluruh negeri. Hal itu membuat PUANAS mengambil peluang dengan mengadakan misi terbesarnya untuk mengungkap kasus paling meresahkan di negara ini, yakni perjudian online.","Komedi, Aksi",Dinna Jasanti,https://image.tmdb.org/t/p/w500/gWK5gp25vqWO9M6WtaWWLRWgq66.jpg,https://image.tmdb.org/t/p/original/6rYPm18kWf2abqEIrHM3yqywTPT.jpg,115,Released,"Wahana Kreator, PK Films, Samara Group, RVO Horizon"
1509649,Tuan Berkantung Tebal,Tuan Berkantung Tebal,2025-07-24,2025,0.0,0,0.01,Seorang calon kepala desa yang gemar bermain perempuan tak menyadari bahwa gaya hidup yang ia nikmati diam-diam mengakar di rumahnya sendiri.,Drama,Kenan Pangaribuan,https://image.tmdb.org/t/p/w500/cYlp5K5dXkVmi9a9KRbO16hQma6.jpg,,12,Released,FFTV IKJ
1423332,"SHE/HER ""Sihir""",SHE/HER,2025-01-23,2025,10.0,2,0.03,"Kongko sosok pria yang mengalami masa - masa pubertas keduanya dipertemukan oleh jaka alias mira dengan latar belakang pekerjaan sebagai waria di dalam sebuah kamar mandi kecil, Mereka menemukan kenyamanan dalam perbincangan yang tulus di tengah kekacauan kehidupan masing - masing.","Drama, Percintaan",Zidan Syaidina,https://image.tmdb.org/t/p/w500/zveunw6Zk2KRQBkr2xAFlBw6rWm.jpg,https://image.tmdb.org/t/p/original/9Z7K6a5BVhSMMXRg3vo9pDfpE0p.jpg,27,Released,Filphos
1499748,Star Fall In Me,Star Fall In Me,2025-07-12,2025,0.0,0,0.04,"Hana (23) seorang remaja perempuan yang mencoba beradaptasi dengan lingkungan barunya dengan bergabung dalam sebuah band bersama saudara nya Arum (22), ia membuat sebuah lagu untuk band mereka demi bisa mengikuti sebuah audisi musik. Namun dengan ambisinya yang ingin selalu menjadi pusat perhatian membuat pertikaian pada band tersebut. hingga ia kehilangan arah dan dihantui bayang-bayang masa lalu dari bundanya membuat ia tersadar akan kesalahannya.","Musik, Drama, Keluarga",Hamka Mahardhika,https://image.tmdb.org/t/p/w500/zmZFto3M4Uq4iYh6eufXiz8G9wc.jpg,https://image.tmdb.org/t/p/original/9GgOMBvU3uQNJneJ9VQVI25zYo7.jpg,37,Released,
1492472,Awas Kepunan: Kelak Celako,Awas Kepunan: Kelak Celako,2025-06-06,2025,4.0,1,0.07,"Menolak minum kopi membuat sial, begitulah yang terjadi pada Kristin dan Clo. Adat yang dilanggar menjadi awal malapetaka, kesialan dan kesialan datang hingga ajal di depan mata.",Kengerian,Bram Ferino,https://image.tmdb.org/t/p/w500/2RFnmakEhHsNjk3Sjifp81RhYfb.jpg,,0,Released,Afici Entertainment
1418112,Jeratan!,Tall Tree's Gaze,2025-03-15,2025,8.5,2,0.03,"Seorang kakak Kehilangan adik satu satunya dengan cara yang misterius, Hal ini membuatnya Selalu bertanya tanya mengenai Eksistensi, Ketakutan, Kehilangan dan Ketidaktahuan, dan ia sangat berharap untuk setidaknya sekali lagi bertemu dengan adiknya lalu mengucapkan selamat tinggal.","Drama, Kengerian",Triandhika B. Prasetyo,https://image.tmdb.org/t/p/w500/oVIJMEEO5elDaaFf9gyBP3HEl6M.jpg,https://image.tmdb.org/t/p/original/hrD0lZ9pzOtp2Pr3TyF1xFhqyi4.jpg,5,Released,"Sinema Samarpana, Sixteen Podcast"
1404429,KAUSALITAS,KAUSALITAS,2025-06-02,2025,0.0,0,0.0,"Usal dan Lunar, dua teman lama yang tidak sengaja bertemu kembali setelah dua tahun. Pada pertemuan itu, Usal mengetahui fakta mengejutkan tentang Lunar dan dirinya yang seharusnya tidak ia ketahui.","Percintaan, Cerita Fiksi",Ananda Afta Firstiarko,https://image.tmdb.org/t/p/w500/wJe1npcWuFiYx0NeSfH5m0eRyIP.jpg,,20,Released,Film Sedih
1439654,A Silent Celebration,A Silent Celebration,2025-01-25,2025,0.0,0,0.06,"Abi, anak yang tidak bisa berbicara, ingin ulang tahunnya dirayakan. Namun, ibunya, Mira, terlihat sibuk dengan rutinitas sehari-hari. Mendekati hari ulang tahun, Abi terus memberikan kode kepada Mira, hingga berniat membuat roti ulang tahunnya sendiri. Film ini menceritakan tentang harapan, cinta, dan kebahagiaan yang sederhana.","Drama, Keluarga",Muhammad Faruq,https://image.tmdb.org/t/p/w500/gAdWHVjXcn5aIVVIRaOAJrf5kmZ.jpg,https://image.tmdb.org/t/p/original/hrxKhr8Yq7R6ppu9NPKof2u3o2a.jpg,15,Released,"Blank Space, Merakit Film"
1496706,The Sadness is Not Over Yet,The Sadness is Not Over Yet,2025-06-15,2025,0.0,0,0.04,"Sulastri, seorang ibu tunggal yang harus melanjutkan hidupnya selepas bercerai. Ia mendapatkan tekanan masyarakat atas status barunya. Ia juga dianggap sebagai pembawa aib bagi keluarga lantaran tak kunjung menikah lagi.",Drama,Tanzilal Azizie,https://image.tmdb.org/t/p/w500/b90TYPL16jNNJH9IC2rchBSXMKZ.jpg,https://image.tmdb.org/t/p/original/fY5gQ0tl2r8njW8y1eZ07JZvH9o.jpg,15,Released,
1410022,Terlahir Kembali,Terlahir Kembali,2025-01-01,2025,0.0,0,0.03,"Dara seorang wanita muda yang hidup tanpa kehadiran ayah selama 20 Tahun. Bertemu kembali dengan ayahnya, pertemuan ini membuka luka lama dan menjadi momen penuh emosi di mana keduanya saling mengungkapkan isi hatinya. Dalam dialog yang intens, Dara mencoba memaafkan sang ayah sambil menghadapi kenyataan bahwa dirinya kini berada dalam situasi serupa dengan ibunya.",Drama,Aprizal Isna SR,https://image.tmdb.org/t/p/w500/isJfa7MKU2wocdY5U3kCudND3gD.jpg,https://image.tmdb.org/t/p/original/gHh0bdXrKqOH5jSuAZ1E7nlAdOh.jpg,12,Released,Kaca Film
1523698,DEAL!,DEAL!,2025-07-30,2025,0.0,0,0.06,"Sofi (16) terjebak antara ambisi dan tuntutan keluarga. Saat ujian menentukan segalanya, ia dan Roni (16) mengambil risiko besar yaitu melakukan kecurangan. Satu keputusan mengubah hubungan, nilai, dan cara mereka melihat diri sendiri.",Drama,M. Raihan Rizki Putra,https://image.tmdb.org/t/p/w500/7PLMvDvkJepSQgBU7wlUF1zcKbO.jpg,https://image.tmdb.org/t/p/original/ipEJdXnA5zDVsLWJtqpcAPwLaK0.jpg,15,Released,AVISTUDIO
1524352,Ketika Hantu Yatim Piatu,Ketika Hantu Yatim Piatu,2025-08-07,2025,0.0,0,0.12,Ketika anak manusia yatim piatu bertemu dengan anak hantu yatim piatu yang sama-sama ingin bertemu kedua orangtua mereka─hingga kenyataan yang menyakitkan menyadarkan mereka berdua.,"Kengerian, Drama",Bram Ferino,https://image.tmdb.org/t/p/w500/k8Gpt43K82fYJ69ONIrIIMkndIk.jpg,,0,Released,Afici Entertainment
1487700,Sandekala,Sandekala,2025-05-19,2025,0.0,0,0.14,"Setelah kematian ayahnya, seorang gadis kecil mengalami kejadian aneh di rumahnya, kemunculan sosok misterius yang menguntitnya ternyata membawa pesan terakhir dari ayahnya untuknya.","Keluarga, Kengerian",Yesaya Vidsie,https://image.tmdb.org/t/p/w500/tV33EJSHjTSvAO3bX23YbMjpVot.jpg,https://image.tmdb.org/t/p/original/1J78X3tkTB6DLm49QEBRP1yDvSX.jpg,5,Released,"Sidewalks Films, Sinemarolas"
1415036,Kopi Susu Gula Aren,Palm Sugar Milk Coffee,2025-01-09,2025,0.0,0,0.12,"Dalam kurun waktu 1 tahun terakhir (2023-2024) budaya nongkrong street coffee di kota yogyakarta berkembang sangat cepat. Firman shaleh merupakan salah satu orang yang berpengaruh besar dalam perkembangan budaya nongkrong tersebut, ia membuka salah satu street coffee pertama di daerah kotabaru dan membuka jalan bagi street coffee lainnya untuk buka. Walaupun mengalami berbagai rintangan firman bersama pinggiran tetap menginspirasi dan memberikan dampak berbagai budaya street coffee di kota yogyakarta.",Dokumenter,Ardhian Virgi Agustian,https://image.tmdb.org/t/p/w500/cJ0sVaLvIdoyDyVdl4DC8MImxgi.jpg,https://image.tmdb.org/t/p/original/9BfFHMvLa4p75b9DKWQwyOaSmUW.jpg,12,Released,Filmin in The rain
1511423,Misteri Cek Khodam,Misteri Cek Khodam,2025-02-06,2025,0.0,0,0.11,Seorang pemuda tanpa sadar mewarisi khodam dari sang ayah. Keberadaan khodam (makhluk gaib) tersebut membawa berbagai kejadian di luar nalar dan mengungkap rahasia kelam yang selama ini tersembunyi.,Kengerian,Master Limbad,https://image.tmdb.org/t/p/w500/ikHWQT1LfltvpMj355mjH9hzi1Z.jpg,,107,Released,Master Cinema Production
1426281,Bunyi Hujan di Bawah Halte,Bunyi Hujan di Bawah Halte,2025-01-18,2025,0.0,0,0.08,"Renata (19 Tahun) dan  Rio (19 Tahun) sedang menunggu bus di halte. Namun karena hari terlalu sore, Renata mengalihkan transport pulang mereka dengan lo-car (taksi online). Ditengah menunggu, Rio meminta Renata untuk membelikan kasa baru untuk luka di kakinya. Setelah dibantu oleh Renata, ternyata Rio mengucapkan kalimat yang membuat Renata kecewa sehingga terjadi pertengkaran diantara mereka berdua yang mengungkap bahwa selama ini Rio hanya menganggap Renata sebatas teman dan memanfaatkan kebaikan Renata. Tak disangka, dibalik Renata yang tersakiti, ia juga memanfaatkan Aqmal (19 Tahun) untuk membayar lo-car.",Drama,Muhammad Hanif Fadhila,https://image.tmdb.org/t/p/w500/ocuOInmssP8kzanE7HnerzxxUPz.jpg,,13,Released,Echtes Cinema
1419057,A NARRATOR IN A SILENT NIGHT,NARASI DI MALAM SUNYI,2025-01-17,2025,0.0,0,0.04,"Ryan (L/13) sering menjadi sasaran kekerasan dari ayahnya dan hanya bisa bermain dengan mainannya saat tengah malam, satu-satunya waktu ia merasa aman namun suatu malam ia mendapati kehadiran sosok misterius yang mulai berinteraksi dengannya.","Drama, Misteri",Nazril Akmal,https://image.tmdb.org/t/p/w500/ddu8ZhkapPqwf8qx9sZdO7UZZG7.jpg,https://image.tmdb.org/t/p/original/lQKOeaVj6fRbJQjef1tKCoqhmpW.jpg,7,Released,"SINEAS ABSOLUT, EVERMONTAGE, LIMUS"
