title,year,vote_average,vote_count,popularity,overview,genres,production_countries,poster_path
Barbie: A Perfect Christmas,2011,6.7,317,5.2968,"Join Barbie and her sisters Skipper, Stacie and Chelsea as their holiday vacation plans turn into a most unexpected adventure and heartwarming lesson. After a snowstorm diverts their plane, the girls find themselves far from their New York destination and their holiday dreams. Now stranded at a remote inn in the tiny town of Tannenbaum, the sisters are welcomed by new friends and magical experiences. In appreciation for the wonderful hospitality they receive, they use their musical talents to put on a performance for the whole town. Barbie and her sisters realize the joy of being together is what really makes A Perfect Christmas!",[],[],https://image.tmdb.org/t/p/w500/u14NrsyD9h505ZXs5Ofm7Tv3AuM.jpg
The Conspirator,2011,6.55,470,5.5734,"Mary Surratt is the lone female charged as a co-conspirator in the assassination trial of Abraham Lincoln. As the whole nation turns against her, she is forced to rely on her reluctant lawyer to uncover the truth and save her life.",[],[],https://image.tmdb.org/t/p/w500/a2ubkGUjGYeKRN1C2Tib0rmjuWf.jpg
Pirates of the Caribbean: Tales of the Code: Wedlocked,2011,6.764,106,5.212,"Wenches Scarlett and Giselle fix each other up for their wedding, in which they would each marry their groom. Upon realizing that both their grooms were the same man, Jack Sparrow, the two wenches found themselves in an auction led by the Auctioneer. This short film serves as a prequel to The Curse of the Black Pearl, and explains just why Jack Sparrow's boat the Jolly Mon was seen sinking at the beginning of the whole story; why the wenches were so upset with him; and how Cotton lost his tongue.",[],[],https://image.tmdb.org/t/p/w500/gJfzdiL6XkFRB5Oh57D7VijT4OK.jpg
A Dangerous Method,2011,6.352,2141,5.0337,"Seduced by the challenge of an impossible case, the driven Dr. Carl Jung takes the unbalanced yet beautiful Sabina Spielrein as his patient. Jung’s weapon is the method of his master, the renowned Sigmund Freud. Both men fall under Sabina’s spell.",[],[],https://image.tmdb.org/t/p/w500/7TPYtzq9ABkfED1JB0tRASamL4z.jpg
Phineas and Ferb The Movie: Across the 2nd Dimension,2011,7.096,585,5.3249,"Phineas and Ferb get trapped in an alternate dimension where the evil Doofenshmirtz rules the tri-state area. They must find a way back home with the help of their pet platypus named Perry, who they discover is a secret agent.",[],[],https://image.tmdb.org/t/p/w500/updMFSOZwEftfkJRpozwBlRlYI2.jpg
The Victim,2011,4.75,58,5.129,"Annie's life is in jeopardy after she's witnessed the horrific rape and murder of her closest friend. Fleeing from two attackers she stumbles across Kyle, a recluse living in the middle of the woods. Kyle finds the stillness of the woods comforting. The ruggedly handsome loner stays far from civilization - that is - until a single knock on his door throws his solitary life into chaos.",[],[],https://image.tmdb.org/t/p/w500/rMWGCTARl355jcUTylJoduVtQFA.jpg
The Scarlet Worm,2011,3.786,7,4.9478,An aging killer trains a young hired gun in a plot to assassinate a meek brothel owner performing barbaric abortion acts on his prostitutes.,[],[],https://image.tmdb.org/t/p/w500/qc0kYLczaCohzKJeoYtaTn51nQ1.jpg
Grave Encounters,2011,6.3,1576,5.1901,A crew from a paranormal reality television show lock themselves in a haunted psychiatric hospital. They search for evidence of paranormal activity as they shoot what ends up becoming their final episode.,[],[],https://image.tmdb.org/t/p/w500/8vnsB3Rg9Gb91UOaecXRb7dYB37.jpg
Ticking Clock,2011,5.212,78,5.0891,"A reporter stumbles upon the journal of a murderer with plans to butcher specific girls, and he begins to investigates on his own, and finding that every trail leads to a 9-year-old orphan living in a group home.",[],[],https://image.tmdb.org/t/p/w500/yHBeLWuTLozNLAXFnbeG0P89h0.jpg
A Thousand And One Nights in Bohemia,2011,0.0,0,3.819,"Jack, at an all-time low in a Los Angeles hotel, hires an escort from Prague named “Scheherazade.” As she weaves intricate tales of young lovers, their stories begin to blur with the passionate connection developing between them. Jack starts to question which story is real and who Scheherazade truly is. Scheherazade’s Tale explores storytelling, identity, and the thin line between fiction and reality.",[],[],
One Step Beyond: Catriona MacColl Remembers a Spaghetti Splatter Classic,2011,7.0,1,4.7898,Catriona MacColl relives the events taken place during the making of Lucio Fulci's classic horror film The Beyond.,[],[],
Beat the World,2011,5.3,50,5.4376,"Three dance crews – one Latin American, one European and one Canadian – prepare to battle at the International Beat the World competition in Detroit. Along the way, they struggle with gambling debt, bad break-ups and their own egos. In the final showdown to become world champions they find that their lifelong hopes, dreams and even lives, are at stake.",[],[],https://image.tmdb.org/t/p/w500/nZCPl2Du2PRkky4Mzb4YiXk9C1Q.jpg
Good Neighbours,2011,5.626,111,5.0165,"Neighbors Spencer and Louise have bonded over their fascination with a recent string of murders terrorizing their community. When a new tenant named Victor moves into the building, all three quickly hit it off. However, they soon discover each has his or her own dark secret. As the violence outside mounts, the city retreats indoors for safety. But the more time these three neighbors spend together in their apartment building, the clearer it becomes that what they once thought of as a safe haven is as dangerous as any outside terrors they could imagine.",[],[],https://image.tmdb.org/t/p/w500/1i2YBTnZyC71TuJXq4RQWPGSbvv.jpg
Kill Bill: The Whole Bloody Affair,2011,8.0,1084,5.0901,"Quentin Tarantino’s complete cut combining Kill Bill: Vol. 1 and Vol. 2 follows The Bride, a former assassin who awakens from a four-year coma after being shot by her mentor and lover, Bill. She embarks on a vengeful quest to eliminate Bill and the Deadly Viper Assassination Squad who betrayed her.",[],[],https://image.tmdb.org/t/p/w500/nxbv9TPXrIpRKB5xQh6atWXAkPM.jpg
S.W.A.T.: Firefight,2011,5.679,383,5.2715,"Los Angeles S.W.A.T. officer, Lt. Paul Cutler, is sent to train the Detroit S.W.A.T. team on new anti-terrorism and homeland security techniques. Cutler has a hard time settling into his assignment as he locks horns with his new captain and encounters resistance from the team he must lead. Cutler begins to adjust to his new assignment, starting a budding romance with police psychologist Kim Byers along the way. Unexpectedly, a routine hostage call turns deadly, and a relentless ex-government agent named Walter Hatch vows revenge on Cutler and the entire S.W.A.T. team for killing the woman he loves. Cutler must use his considerable S.W.A.T. training and knowledge to save his teammates and defeat a trained killer.",[],[],https://image.tmdb.org/t/p/w500/aUr0RzL0jDxdlpJsOiBy4mkLC0i.jpg
Sharpay's Fabulous Adventure,2011,5.987,554,4.7396,"After a talent scout spots her performing with her dog Boi at a charity gala, Sharpay Evans sets off for the bright lights of NYC, convinced instant fame and fortune are in the bag. But theatre's a dog-eat-dog world. Fortunately, Sharpay also meets Peyton, a handsome student filmmaker who finds Sharpay nearly as fascinating as she finds herself.",[],[],https://image.tmdb.org/t/p/w500/aPtBzBKCCvByXue1AZrG2lrxm4l.jpg
The Smell of Success,2011,5.6,25,5.1915,"When a tragic accident ends the life of Mr. Rose, the genius behind Rose's Manure Company, the livelihood of its loyal fleet of salesmen threatens to go, as they say, into the toilet. Enter estranged daughter Rosemary, a high-class- cosmetics salesgirl, who steps in to take control. She is not sure she has a nose for the family business, but she is determined to make foul into profit. Little does she know that a ruthless, slick-talking fertilizer rep is plotting a takeover. Whether she likes it or not, she must trust her top salesman, Patrick Fitzpatrick, to devise a plan to regain Rose's rightful position on top of the heap.",[],[],https://image.tmdb.org/t/p/w500/otKIDYheG2AScxZ57HJ8RZFfb7a.jpg
Winnie the Pooh,2011,6.9,916,5.8688,"During an ordinary day in Hundred Acre Wood, Winnie the Pooh sets out to find some honey. Misinterpreting a note from Christopher Robin, Owl convinces Pooh, Tigger, Rabbit, Piglet, Kanga, Roo, and Eeyore that their young friend has been captured by a creature named ""Backson"" and they set out to rescue him.",[],[],https://image.tmdb.org/t/p/w500/xlFs85nq62jeR4a9iHNGB113m6x.jpg
What's Your Number?,2011,6.463,2386,5.05,"Ally Darling is realizing she's a little lost in life. Her latest romance has just fizzled out, and she's just been fired from her marketing job. Then she reads an eye-opening magazine article that warns that 96 percent of women who've been with 20 or more lovers are unlikely to find a husband. Determined to turn her life around and prove the article wrong, Ally embarks on a mission to find the perfect mate from among her numerous ex-boyfriends.",[],[],https://image.tmdb.org/t/p/w500/eqn3UeXMY9W1Ow3jIZ6COqbjUWX.jpg
Woody Allen: A Documentary,2011,6.8,162,5.3932,"An intense portrait of the iconic filmmaker, writer, actor, comedian and musician Woody Allen: his life, family and friends; his writing and directing habits, and his relationship with performers.",[],[],https://image.tmdb.org/t/p/w500/WyMPd6dcMUw58QIwb3XPci4Vkq.jpg
This Must Be the Place,2011,6.986,1268,4.8957,"A bored, retired rock star sets out to find his father's tormentor, an ex-Nazi war criminal who is a refugee in the U.S.",[],[],https://image.tmdb.org/t/p/w500/7WSD4SAMGVP6BHSOzDGL9Acunxd.jpg
Born to Race,2011,6.887,217,5.4448,"Danny Krueger is a rebellious young street racer on a collision course with trouble. After an accident at an illegal race, he's sent to a small town to live with his estranged father, a washed up NASCAR racer. When Danny decides to enter the NHRA High School Drags, he's forced to seek his father's help in taking down the local hotshot.",[],[],https://image.tmdb.org/t/p/w500/Aamkezlj7SEpzdxa84GLvvmgTqq.jpg
Immortals,2011,6.033,2707,5.2768,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",[],[],https://image.tmdb.org/t/p/w500/4SPPX5KIyaQ9O8n5rLvvUIiIhpF.jpg
Sand Sharks,2011,3.654,149,4.8212,"Just when you thought it was safe to go back to the beach, it appears that our large fishy friends have found a way to chomp on you when you're chilling out on the sand too!",[],[],https://image.tmdb.org/t/p/w500/bhOBPEmtPPfwfTIbCF5CPMeEte6.jpg
Deadly Sibling Rivalry,2011,5.4,18,4.684,"Two twins lead separate lives since one of them blamed the other for the accidental death of his father. Years later, one carries a conventional family life while the other has a life of excess. When the first has an accident and is in a coma, the other does not scruple to take over her identity and steal her life.",[],[],https://image.tmdb.org/t/p/w500/oYzWxiONaWrhYN0KF3TKYFF8KjA.jpg
All God's Creatures,2011,7.5,2,5.1781,"Creature of habit, Jon Smith, spends his days mindlessly working as a barista in New York City. When night falls, this seeming everyman savagely kills ""filthy women"" as his social outlet. A chance encounter with Delia, a young prostitute searching for an escape from her troubled past, forces Jon to confront the most terrifying thing he has ever faced in all his dark affairs - himself. All God's Creatures examines the true nature of what it means to be a monster and reveals that love is not only for a chosen few, but for all God's creatures.",[],[],https://image.tmdb.org/t/p/w500/dr7yuZ74MMUq7TXTgASz8gdj5zY.jpg
Geek Charming,2011,6.679,773,4.9024,"Film geek Josh is looking for the subject of his new documentary when a chance meeting puts the perfect star in his sights—Dylan, his school's most popular junior. But Dylan's hopes of using the film to become Blossom Queen don't quite match with Josh's goal to make a hard-hitting exposé about popularity. Will Josh shoot the film as planned, or show Dylan as the truly interesting person she is?",[],[],https://image.tmdb.org/t/p/w500/xweQBQSYQyHKiUxN1nCDQbLvJE0.jpg
The Good Witch's Family,2011,7.213,87,4.6951,"A young witch visits her cousin in a small town during a heated mayoral election race. Her kind-hearted cousin, the town’s beloved “good witch” and newlywed with two teenage step-kids, is running for office, but must keep her family from falling apart when their visitor uses her magic to put them—and the whole town—under her bitter spell.",[],[],https://image.tmdb.org/t/p/w500/ywsP21sGXXzui0gk1sVMAZ751Sh.jpg
30 Minutes or Less,2011,5.772,1762,4.8635,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",[],[],https://image.tmdb.org/t/p/w500/pfsNMZcA9aAzvEqdOnq40KwEl7h.jpg
The Thing,2011,6.229,3066,5.4453,"When paleontologist Kate Lloyd travels to an isolated outpost in Antarctica for the expedition of a lifetime, she joins an international team that unearths a remarkable discovery. Their elation quickly turns to fear as they realize that their experiment has freed a mysterious being from its frozen prison. Paranoia spreads like an epidemic as a creature that can mimic anything it touches will pit human against human as it tries to survive and flourish in this spine-tingling thriller.",[],[],https://image.tmdb.org/t/p/w500/dmn2nVo8h7LMnk694JxCRIwK06p.jpg
Manborg,2011,4.8,78,4.7549,"The evil Count Draculon and his army of demons have conquered Earth, but a young soldier who lost his life in the first war against Hell has reawakened in the future as MANBORG! Together with a crew of post-apocalyptic rebels, the half-man half-machine hero will fight to defeat Draculon and take back the planet!",[],[],https://image.tmdb.org/t/p/w500/IVoSzuN0JefEoTQRvEekKPCsbb.jpg
The Door Ajar,2011,0.0,0,4.9981,"In August 1937, French dramatist and poet Antonin Artaud landed in Cobh and journeyed to Galway with the intention of returning the alleged staff of St. Patrick to its rightful owners, and, with their help, rediscovering some fundamental truths.",[],[],https://image.tmdb.org/t/p/w500/fWBc0kugsHwoETIeB0K8G1oQvVv.jpg
Hysteria,2011,6.673,833,4.6732,"Two doctors in Victorian England use manual stimulation of female genitalia to cure their patients' ills, leading to the invention of the vibrator.",[],[],https://image.tmdb.org/t/p/w500/ziWnXi2VyNDD9qPi5wmOuolOCIu.jpg
Gnomeo & Juliet,2011,5.896,2031,5.3652,"A version of Shakespeare's play, set in the world of warring indoor and outdoor gnomes. Garden gnomes Gnomeo and Juliet have as many obstacles to overcome as their quasi namesakes when they are caught up in a feud between neighbors. But with plastic pink flamingos and lawnmower races in the mix, can this young couple find lasting happiness?",[],[],https://image.tmdb.org/t/p/w500/vVQwgfS9gSFviVT4gS7tZAmhRFc.jpg
Bikini Time Machine,2011,5.316,19,4.6044,"The bikini time machine sends people back in time, but it has the side effect of making them very horny. The professor who invented it gets fired because the dean thinks he's just a dirty old man; however, he gets a chance to use his invention for good.",[],[],https://image.tmdb.org/t/p/w500/5TeHfyl7o42qDhnyBjRFlwUd5uC.jpg
Love Begins,2011,7.9,27,5.4903,"Clark Davis adventurous dreams of seeing the world are put into jeopardy after he and a friend start a fight which damages a local cafe. Through a plea deal with the Sheriff and café owner Millie, Clark works off his sentence as a farmhand for the Barlow sisters, Ellen and Cassie. Older sister Ellen doesnt understand Cassies friendly nature with Clark; she agreed to the Sheriffs offer only because the farm has become too much to maintain alone. Clark is slowing winning Ellen over, but suddenly suffers a traumatic head injury in a fall. After Ellen nurses him back to health, her former fiancé returns to win her back. Will Clark travel on or stay behind where love begins?",[],[],https://image.tmdb.org/t/p/w500/b0JiPlWEZ8cnhhgVOWo0rnbGuvh.jpg
The Guard,2011,6.979,1316,5.1241,"When a small-town Irish cop with a crass personality is partnered with a straight-laced FBI agent to bust an international drug-trafficking ring, they must settle their differences in order to take down a dangerous gang.",[],[],https://image.tmdb.org/t/p/w500/dtQiStID0le2EMTmJXupPRybARB.jpg
Through the Weeping Glass: On the Consolations of Life Everlasting (Limbos & Afterbreezes in the Mütter Museum),2011,6.3,7,4.7858,"A documentary on the subject of the collections of books, instruments and medical anomalies at The College of Physicians of Philadelphia and the Mutter Museum housed there. This short film represents the first to be made by the internationally recognized Quay Brothers in the United States. While not a stop-motion animation film, a form for which the Quays are best known, the entire film is vibrantly constructed and 'animated'. Musical score by composer Tim Nelson and voice-over provided by Derek Jacobi.",[],[],https://image.tmdb.org/t/p/w500/hNaSfmAB6dTVEirXwsGMWJjSbqk.jpg
Return to the Hiding Place,2011,6.0,17,4.9627,"When a young resistance fighter witnesses atrocities towards the Jews, he's drawn into a web of espionage and clandestine activities. When he meets a young physics students and resistance journalist - Hans Poley - they embark on a hunt through underground tunnels, Gestapo hijacks and daring rescues.",[],[],https://image.tmdb.org/t/p/w500/gkY2Nhk7gq2YXGSIFuAVgG5SehD.jpg
Elephant White,2011,4.965,200,4.9657,An assassin is hired by a businessman to avenge the murder of his daughter by white slave traders in Thailand.,[],[],https://image.tmdb.org/t/p/w500/hqriJWWisRhm5XapyuB40D1jqqA.jpg
Being Elmo: A Puppeteer's Journey,2011,7.2,147,4.7612,"Beloved by children of all ages around the world, Elmo is an international icon. Few people know his creator, Kevin Clash, who dreamed of working with his idol, master puppeteer Jim Henson. Displaying his creativity and talent at a young age, Kevin ultimately found a home on Sesame Street. Narrated by Whoopi Goldberg, this documentary includes rare archival footage, interviews with Frank Oz, Rosie O’Donnell, Cheryl Henson, Joan Ganz Cooney and others and offers a behind-the-scenes look at Sesame Street and the Jim Henson Workshop.",[],[],https://image.tmdb.org/t/p/w500/7W2jIcJoWyMaYNiSkCxhZQX3OQF.jpg
Spoon Wars,2011,4.8,9,3.9796,A highly unusual interstellar battle erupts as Jack Cucchiaio finds the one weapon that may finally end his nightmare!,[],[],
A Man's Story,2011,6.9,8,5.3666,Documentary about British fashion designer Ozwald Boateng.,[],[],https://image.tmdb.org/t/p/w500/7XChyRgt2B1GrJoPYrV4oGuOApD.jpg
The Avengers,2012,7.835,33653,51.4738,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",[],[],https://image.tmdb.org/t/p/w500/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
A Perfect Ending,2012,6.223,130,20.5604,"This intimate drama follows Rebecca, a woman who has kept her sexuality a secret from her friends but chooses to reveal it to a stranger. While Rebecca's revelations may not yield the results she expects, a perfect ending is still in reach.",[],[],https://image.tmdb.org/t/p/w500/mjwWEwE1xdbtFGCOgeXi5jvQnOU.jpg
The Dark Knight Rises,2012,7.788,23644,19.1134,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",[],[],https://image.tmdb.org/t/p/w500/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg
Brave,2012,7.02,13818,17.1817,"In the mystical Scottish Highlands, Merida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Merida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Merida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Merida's quest — and serving as comic relief — are the kingdom's three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",[],[],https://image.tmdb.org/t/p/w500/1XAuDtMWpL0sYSFK0R6EZate2Ux.jpg
The Amazing Spider-Man,2012,6.723,18017,16.8745,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",[],[],https://image.tmdb.org/t/p/w500/jexoNYnPd6vVrmygwF6QZmWPFdu.jpg
Django Unchained,2013,8.185,27180,16.4932,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",[],[],https://image.tmdb.org/t/p/w500/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg
The Hobbit: An Unexpected Journey,2012,7.364,19068,16.1193,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",[],[],https://image.tmdb.org/t/p/w500/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg
Hotel Transylvania,2012,6.962,8928,15.6083,"Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!",[],[],https://image.tmdb.org/t/p/w500/eJGvzGrsfe2sqTUPv5IwLWXjVuR.jpg
Prometheus,2012,6.584,12809,14.6236,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",[],[],https://image.tmdb.org/t/p/w500/m7nZCtHJyDLncBUarfM5h5mrppx.jpg
Blue Lagoon: The Awakening,2012,6.444,1468,13.9719,Two high school students become stranded on a tropical island and must rely on each other for survival. They learn more about themselves and each other while falling in love.,[],[],https://image.tmdb.org/t/p/w500/ptsBY9Aqo4Mn0V1krI5s8WfFxzW.jpg
Sinister,2012,6.866,5805,14.0345,"True-crime writer Ellison Oswald is in a slump; he hasn't had a best seller in more than 10 years and is becoming increasingly desperate for a hit. So, when he discovers the existence of a snuff film showing the deaths of a family, he vows to solve the mystery. He moves his own family into the victims' home and gets to work. However, when old film footage and other clues hint at the presence of a supernatural force, Ellison learns that living in the house may be fatal.",[],[],https://image.tmdb.org/t/p/w500/nzx10sca3arCeYBAomHan4Q6wa1.jpg
The Twilight Saga: Breaking Dawn - Part 2,2012,6.462,9166,12.8167,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",[],[],https://image.tmdb.org/t/p/w500/7IGdPaKujv0BjI0Zd0m0a4CzEjJ.jpg
Rise of the Guardians,2012,7.37,6952,12.4437,"When an evil spirit known as Pitch lays down the gauntlet to take over the world, the immortal Guardians must join forces for the first time to protect the hopes, beliefs and imagination of children all over the world.",[],[],https://image.tmdb.org/t/p/w500/sW4qOa9yF0Ikg7lppncQ0n5UhKX.jpg
The Lorax,2012,6.513,3749,13.0575,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",[],[],https://image.tmdb.org/t/p/w500/tePFnZFw5JvjwjQjaKkqDPNMLPU.jpg
Wreck-It Ralph,2012,7.4,12747,13.1862,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",[],[],https://image.tmdb.org/t/p/w500/zWoIgZ7mgmPkaZjG0102BSKFIqQ.jpg
ParaNorman,2012,7.011,2657,12.3542,"In the town of Blithe Hollow, Norman Babcock can speak to the dead, but no one other than his eccentric new friend believes his ability is real. One day, Norman's eccentric uncle tells him of a ritual he must perform to protect the town from a curse cast by a witch centuries ago.",[],[],https://image.tmdb.org/t/p/w500/9DZPtuYTKYxt6vzHvZ5FLThG4fl.jpg
The Cabin in the Woods,2012,6.64,8241,12.2566,"Five friends set out for a weekend at a remote cabin in the woods, expecting nothing more than fun and relaxation. As night falls, they discover that something far more unsettling is at work and that nothing about their getaway is what it seems.",[],[],https://image.tmdb.org/t/p/w500/zZZe5wn0udlhMtdlDjN4NB72R6e.jpg
Dredd,2012,6.851,5309,11.2156,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",[],[],https://image.tmdb.org/t/p/w500/wLx65gtGVnUFCxceHWGszcruCZj.jpg
Dark Shadows,2012,6.097,7431,12.2173,Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.,[],[],https://image.tmdb.org/t/p/w500/fd9Ck4cxVlmtXsbeGtQW7WFuUFI.jpg
Jack Reacher,2012,6.647,7353,11.9071,"One morning in an ordinary town, five people are shot dead in a seemingly random attack. All evidence points to a single suspect: an ex-military sniper who is quickly brought into custody. The interrogation yields one written note: 'Get Jack Reacher!'. Reacher, an enigmatic ex-Army investigator, believes the authorities have the right man but agrees to help the sniper's defense attorney. However, the more Reacher delves into the case, the less clear-cut it appears. So begins an extraordinary chase for the truth, pitting Jack Reacher against an unexpected enemy, with a skill for violence and a secret to keep.",[],[],https://image.tmdb.org/t/p/w500/uQBbjrLVsUibWxNDGA4Czzo8lwz.jpg
Taken 2,2012,6.366,6890,10.4098,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",[],[],https://image.tmdb.org/t/p/w500/mGRtQS39DYIu6gXu5mXQsXFGZPO.jpg
Ice Age: Continental Drift,2012,6.388,7892,11.0229,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.",[],[],https://image.tmdb.org/t/p/w500/dfp1BZF7FxbBUyzHvMOI9t8NWDD.jpg
Skyfall,2012,7.256,15682,10.8663,"When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.",[],[],https://image.tmdb.org/t/p/w500/d0IVecFQvsGdSbnMAHqiYsNYaJT.jpg
Frankenweenie,2012,7.0,3500,10.2488,"When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them that Sparky's still the good, loyal friend he was.",[],[],https://image.tmdb.org/t/p/w500/yGjVbLVdZRBlZTTQVBsj2KUjL1s.jpg
Les Misérables,2012,7.313,5436,10.7389,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France. Jean Valjean, a man imprisoned for stealing bread, must flee a relentless policeman named Javert. The pursuit consumes both men's lives, and soon Valjean finds himself in the midst of the student revolutions in France.",[],[],https://image.tmdb.org/t/p/w500/6CuzBs2Lb8At7qQr64mLXg2RYRb.jpg
Men in Black 3,2012,6.537,10672,11.5512,"Agents J and K are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K to save his partner, the agency, and the future of humankind.",[],[],https://image.tmdb.org/t/p/w500/90DdoEStzeObs96fsYf4GG544iN.jpg
Ted,2012,6.447,12809,10.83,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",[],[],https://image.tmdb.org/t/p/w500/tZPTcdGTpxq4yJx1YxqBl0gthNz.jpg
Wrong Turn 5: Bloodlines,2012,5.4,999,10.3478,"A small West Virginia town is hosting the legendary Mountain Man Festival on Halloween, where throngs of costumed party goers gather for a wild night of music and mischief. But an inbred family of hillbilly cannibals kill the fun when they trick and treat themselves to a group of visiting college students.",[],[],https://image.tmdb.org/t/p/w500/nALE9wbgwIYKuwdhANoLbxasw7z.jpg
Madagascar 3: Europe's Most Wanted,2012,6.62,6375,10.1169,"Animal pals Alex, Marty, Melman, and Gloria are still trying to make it back to New York's Central Park Zoo. They are forced to take a detour to Europe to find the penguins and chimps who broke the bank at a Monte Carlo casino. When French animal-control officer Capitaine Chantel DuBois picks up their scent, Alex and company are forced to hide out in a traveling circus.",[],[],https://image.tmdb.org/t/p/w500/ekraj4ksvIKeuvQVEevEJkuybZd.jpg
21 Jump Street,2012,6.882,10655,10.3233,"When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go undercover as high school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.",[],[],https://image.tmdb.org/t/p/w500/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg
