Total Sutradara: 1385
Total Film: 3333
Rata-rata film per sutradara: 2.41

Daftar Lengkap Sutradara:
--------------------------------------------------
                            Sutradara  Jumlah Film
                       Umar Najmuddin            1
                Bambang Kuntara Murti            1
                       Cornelio Sunny            1
                       Bony Wirasmono            1
                       Randolph Zaini            1
                               Aulion            1
                         Tintin Wulia            1
                  Brama Yudha Prawira            1
                      William Adiguna            1
                       Hendra Martono            1
                      Bayang Sambadha            1
                      Gangsar Waskito            1
                   Susetyo Herlambang            1
                   Putu Kusuma Wijaya            1
                         Nucke Rachma            1
                    Melarissa Sjarief            1
                        Lukmantoro DS            1
                          Renas Makki            1
                           Aldi Taher            1
                      Rumekso Setyadi            1
                       M. Aprisiyanto            1
                          Bobby Sandy            1
                        Yogi S. Calam            1
                         Anika Marani            1
                          Feroz Kader            1
                        Revel Tarigan            1
                        Syakir Daulay            1
               Anisa Berliana Meisani            1
                      Dian W. Sasmita            1
                      Ilham Prajatama            1
                        Lianto Luseno            1
                        Sameer Shaikh            1
                          George Arif            1
                          Alifa Lubis            1
                      Teguh Rahardika            1
                          Amar Haikal            1
                             Ai Manaf            1
                     Bobby Herlambang            1
                          Wimo Bayang            1
                  Adam Winter Sardlee            1
                           Roy Lolang            1
                         Alvin Yunata            1
                       Alberto Gerosa            1
                      Christo Desanes            1
                             Cak Nunu            1
                    Fauzan Al Habibie            1
                  Lamtiar Simorangkir            1
                         Abdul Aziz K            1
                   Yusuf Jacka Ardana            1
                           Nofrinaldi            1
             Muhamad Ardan Arârazaq            1
                        Sandhy Fasyah            1
                 Rizqon Agustia Fahsa            1
                        Yeremia Kevin            1
                           Ucik Supra            1
                           Ezra Cecio            1
          Yuli Andari Merdikaningtyas            1
                        Amir Muhammad            1
                  Taufiqurrahman Kifu            1
                    Dinda M. Djunanda            1
                 Jody Antonio Khomaro            1
                    Tengku Firmansyah            1
                        Inge Maharani            1
                        Rifki Rifaldi            1
                          Nur Fitriah            1
                          Iman Kurnia            1
                         Juan Bio One            1
                      Kholif Mundzira            1
                          Robin Moran            1
                          Yogi Sumule            1
                         Oktoris Dewa            1
                Cipta Croft-Custworth            1
                          Widy Wijaya            1
                      Garry Christian            1
               Andre Febrian Prastowo            1
                      Dedetria Holyri            1
                Sazkia Noor Anggraini            1
                       IGP Wiranegara            1
                         Aris Alrasid            1
                        Faizal Kusuma            1
                             Lynn Lee            1
                         Hafidz Rafli            1
                       Raffi Iskandar            1
                         Annisa Adjam            1
     Ida Bagus Adi Raditya Pratiyaksa            1
                         Fandy Achmad            1
                         Rici Viondra            1
            Andrea Nirmala Widjajanto            1
                         Hendra Sahab            1
                 Steven Vicky Sumbido            1
                    Ratih Prebatasari            1
                   Vidyadari Anjelita            1
                   Wimo Ambala Bayang            1
                  Christofer Erlangga            1
                       Rifqi Zarkasih            1
                 Ephraim Ryan Pranata            1
                             Effi Zen            1
                         Bowo Leksono            1
                               Jordhy            1
                          Maria Adela            1
                 Rohmad Bams Zulfiqri            1
                      Yusril Mahendra            1
                        Tama Pramudya            1
               Vania Qanita Damayanti            1
             Natania Gabriella Jansen            1
              Cikal Artha Anugerahito            1
                    Fajarudin Ajitama            1
                          Rendro Aryo            1
                      Andrew Campbell            1
                        Ade Rahman H.            1
                        Medy Mahasena            1
                         Aldo Syahrul            1
                          Nabil Surya            1
                  Ilham Malik Ardinan            1
                    Bunga Chairunnisa            1
                    Ibnu Banu Suyatna            1
                      Yoga Adi Dharma            1
                              Wijayyy            1
                                Asman            1
                         Adji Saputra            1
                        Ribka Natalia            1
                        Adel Maharani            1
                     Fanny Bratahalim            1
                        Baskara Putra            1
                         Faiq Rivaldy            1
                           Dedi Kobra            1
                       Bobby Zarkasih            1
                       Arwin Wardhana            1
                      Ruben Adrian S.            1
                Mizam Faddilah Ananda            1
                      Iqbal Mustaqiem            1
                    Andreuw Parinussa            1
                 Difizckal Satriatama            1
               Riezky Andhika Pradana            1
                    Luhki Herwanayogi            1
                          Virlan Wana            1
                         Kumar Pareek            1
                    Gembong Nusantara            1
                      Atta Halilintar            1
                           Dwi Sasono            1
                           Desmond Ng            1
                   Avigayil Enautozoe            1
                      Nehemia Pareang            1
                  Julfikar Maha Putra            1
                         Putri Ayudya            1
                     Devina Sofiyanti            1
                         Atok Suharto            1
                       Bernardus Raka            1
                       Endy Nomansyah            1
              Ryandira Bagus Rahardjo            1
                         Banyu Bening            1
                  Arswendo Atmowiloto            1
                           A Jambul F            1
                        Stephen Odang            1
                  Leonard Louis Paais            1
                            Dessy Okt            1
                          Dian Tamara            1
                       Ragiel Miftach            1
                        Annisa Meutia            1
                     Adinegoro Natsir            1
                           Aby Azy TR            1
                                Linur            1
                 Chris Chong Chan Fui            1
                          Ramon Sloan            1
                   Azalia Muchransyah            1
                     Amara Tunggadewi            1
                  Insan Indah Pribadi            1
                     Andries Pangestu            1
                       Yossenda Venus            1
                          Yudie Oktav            1
                      Dimas Jayasrana            1
                         Kabir Bhatia            1
                          Fowaz Dirja            1
                  Utari Hanif Assyuri            1
                Abdul Ghaniy Rosyidin            1
                      Karolina Karwan            1
                         Tanesa Putri            1
                          Dika Wisala            1
                        Agasyah Karim            1
                     Raditya Sidharta            1
                                Fikri            1
             Gerry Kurniawan Prasetyo            1
                         Dennis Kumar            1
                Yulianto Krisbiantoro            1
                Rohil Fidiawan Mokmin            1
                      Tjandra Warasto            1
                 Candhika Dhanuwijaya            1
                      Deden Bagaskara            1
                            Elisabeth            1
                         Nanda Adhika            1
               Ratu Dewi Hendriantika            1
                        Riani Singgih            1
                        Hariz Soe'oed            1
                     Jonggi Sihombing            1
                       Guntur Novaris            1
                          Adith Dudit            1
                          Novita Sari            1
                         Steven Purba            1
                        Ajie Sudrajat            1
                  Ricky Zakaria Fajri            1
                        Della Kartika            1
                       Rozan Muttaqin            1
                           Hermansyah            1
                  Muhammad Hilal Azmi            1
                           AkmalPalah            1
                  Kemal Fathurrakhman            1
                Catur Panggih Raharjo            1
                         Dria Soetomo            1
                Moses Parlindungan O.            1
                       Richard Farrel            1
                         Rindra Panca            1
                    Iwan Burnani Toni            1
                      Lantip Abdullah            1
                       Devika Leksono            1
                          Aldis Elwan            1
                      Shara Octaviani            1
                      Annisa Septiani            1
                Muhammad Zakiul Fikri            1
                         Dini Aprilia            1
                      Dinda Salsabila            1
                          Eros Djarot            1
                 Zhilal Farras Dzikra            1
                Asarela Orchidia Dewi            1
                        Fernando Adji            1
              Muhammad Faqih Sampurno            1
                     Abimanyu Zakaria            1
                        Ellyn Stevany            1
                          Ismail Riza            1
                     Attirmidzi Irzan            1
                          Ori Semloko            1
                          Alan Bishop            1
                        Randiek Akbar            1
                          Yuki Aditya            1
                       Millaty Ismail            1
                      Ratna Sarumpaet            1
               Ardiansyah Adi Saputra            1
                 Achmad Widi Rochmani            1
                           Maruli Ara            1
            Duhita Diptyarani Tsabita            1
                      Michael Pantouw            1
                   Eduardus Kristyadi            1
            Riandhani Yudha Pamungkas            1
                         Yadi Sugandi            1
                 Afifah Putri Hidayah            1
                    Marcelinus Rangga            1
              Arjan Onderdenwijngaard            1
              Zuriel Asher Panggabean            1
                        Chelsea Masie            1
                          A. J. Kelly            1
                        Garry Cantona            1
                      Wiendy Widasari            1
               Jesica Nindita Wirawan            1
                          Rizky Rahad            1
                    Bayu Andama Putra            1
                         Daniel Zhora            1
                 Ibara Baiano Lanjare            1
                 Daffa Putra Ramadhan            1
                  Kemal Andra Ibrahim            1
                          Henry Riady            1
                     Peter Pastimoore            1
                          Mike Wiluan            1
                        Allo Geaffary            1
                       George Timothy            1
                        Wahyu Nugroho            1
                           Jefri Dara            1
                 Theogracia Rumansara            1
              Nirartha Bas Diwangkara            1
                      Philip Mitchell            1
                       Verdi Solaiman            1
                           Imam Darto            1
                            Emil Bias            1
                            Dosy Omar            1
                              Chandni            1
                        Sigat Rambito            1
                        Dimas Anggara            1
                     Amir Mirza Gumay            1
                       Iwan Kurniawan            1
                         Nara Nugroho            1
                                Tania            1
                Erina Adeline Tandian            1
                         Aldy Juliand            1
                    Jeremias Nyangoen            1
                   Gunung Nusa Pelita            1
                      Christian Pauli            1
                 Deo Gilbert Hutauruk            1
                        Deris Muhamad            1
                          Juan Bobbin            1
                           Tono Wisnu            1
                     Nada Leo Prakasa            1
                     Dimas Raysandika            1
                         A Leung Wong            1
                Angger Yudha Setiawan            1
                          Sigi Wimala            1
   Ardhie Yudhistira Pratama Sebayang            1
                Lintang Saputra Wahid            1
                  Christian Banisrael            1
                            Jeremy K.            1
                      Fence F. Nayoan            1
                              Bandera            1
                               Eftovi            1
           Timothy Amadeus Herlambang            1
                  Muhammad Rafiansyah            1
                       Chandni Servia            1
                  Hendri Kurniawan WD            1
           Devina Fauziah Puspitasari            1
                         Riri Royanto            1
                 Rizqullah Panggabean            1
                     Farid Rahmandani            1
                    Kenan Pangaribuan            1
                        Yudis Maulana            1
                        Faizul Dunham            1
                        William Karko            1
                          Sherman Ong            1
                      Raihan Kinthoro            1
                      Elfian Danendra            1
                          Rita Hencke            1
                   Imelda Berta Kasih            1
                            Al Ridwan            1
                       Sigit Hermawan            1
                Syafril Agung Siregar            1
                                Jacky            1
                S. Trisasongko Hutomo            1
              Gilang Anugrah Ramadhan            1
                           Jidan Aruf            1
                      Bagas Pamungkas            1
              Geulistya Syifa Marinda            1
                         Andrias Doni            1
                     Radika A Aldryan            1
        Epriliana Fitri Ayu Pamungkas            1
              Rachmat Kurniawan Idrus            1
                   Gerraldy Parikesit            1
                       Darren Anggono            1
            Muhammad Daiyan Al Rasyad            1
                   Rafa Adri Prasetya            1
                            Ciddkocid            1
                    Adith Ath-Thaariq            1
                        Sony Gaokasak            1
                    Adnan Putra Djani            1
                       Exsell Rabbani            1
                     Natania Marcella            1
                            Kim Sendy            1
                         Agnes Yosana            1
                                  Tya            1
                       Duifadia Dissa            1
                                Tanra            1
                        Fakhri Fauzan            1
                 Deddy Mahendra Desta            1
                           Linda Ochy            1
                        Yoga Mahendra            1
                        Faishol Rikza            1
                          Zuhri Rifqi            1
                         Ari Trismana            1
                     M. Faishal Rijal            1
                       Zaid Adiwidiya            1
                         kisya Miryam            1
                 Muhammad Rafly Akbar            1
               Zacky Muhammad Zakaria            1
                       Fadly Kurniadi            1
                Clayton Yugou William            1
       Muhammad Salman Destha Pratama            1
                       Raya de Azzura            1
                        FaqihAtthoriq            1
                     Rakha Magelhaens            1
                      Xantia Askandar            1
                  Adryan Ahmad Shidiq            1
                          Sujiwo Tejo            1
                      Nayaka Richards            1
                    I Made Suniartika            1
                  Putu Kusuma Widjaja            1
                         Duta Mahdiny            1
                     Emmeline layenes            1
                Hendra Arifin Hutapea            1
                       Syair Adharian            1
                      Eriliando Erick            1
                         Irfani Zhang            1
                          Jeje Januar            1
            Rd Panca Juliansyah Putra            1
               Edwyna Kezia Tamindael            1
                      Bambang Anggoro            1
                       Naufal Abrisam            1
                       Luqmanul Hakim            1
                        Rishad Azzuri            1
                 Diandra Nayla Rasyif            1
                           Wildan FKA            1
          Ramadhani Muhammad Wardhana            1
                   Galih Odi Julyanto            1
                      Yustus Setiawan            1
                       Marsha Timothy            1
                       Agung Jarkasih            1
                     Rere Allif Aolia            1
                     Jason Ezra Maail            1
                 Richardo Fransiscoli            1
                     Aria Dwiprasetya            1
                                Opick            1
     Kislew Lian de'Manerd Napitupulu            1
                   M. Hanif Athaillah            1
                     Vernando K'han S            1
            Muhammad Husain Fadhullah            1
                      Farren Syahbian            1
                      Cheverly Amalia            1
                          Conor Allyn            1
                          Nur Hidayat            1
             Kenneth Timothy Leoganda            1
                     Ferry Ipey Assad            1
                             Alamsyah            1
                        Nadia Yuliani            1
                       Edward Gunawan            1
                      Walmer Sitohang            1
                        Somad Sutedja            1
                        Gading Marten            1
                          Koya Pagayo            1
                       VladimÃ­r SÃ­s            1
                       Mathias Muchus            1
                           Ulul Albab            1
                  Tya Subiakto Satrio            1
                       Iman Brotoseno            1
                       Nanda Dewayani            1
Bagus Satrio Pamungkas Endi Syahputra            1
             Dwitya Yoga Dharmawangsa            1
                        Daffa Nashwan            1
                        Fajar Ghifari            1
                        Sayyid Ahmadi            1
               Marcel Abraham Siahaan            1
                         Nazril Akmal            1
                          Rhoma Irama            1
                        Indra Sukmana            1
                  Nigel Giovano Teguh            1
                      Alicya Iskandar            1
                      In-soo Radstake            1
                        Marshel Prass            1
                     Nathan Dharmawan            1
