id;title_existing;original_title;release_date;year;vote_average_existing;vote_count_existing;popularity;overview_existing;genres;director;poster_path_existing;backdrop_path_existing;runtime;status;production_companies;title_tmdb;overview_tmdb;poster_path_tmdb;backdrop_path_tmdb;vote_average_tmdb;vote_count_tmdb;title;overview;poster_path;backdrop_path;vote_average;vote_count;certification
1026398;;Emotional Delusions and Tragedies that Drive Me Crazy;19/09/2022;2022;;;0.0261;;['Drama'];AkmalPalah;;;13.0;Released;Bla collective;;;;;0.0;0.0;Emotional Delusions and Tragedies that Drive Me Crazy;;https://image.tmdb.org/t/p/w500/a3Qzn873fpoUbJe5tRsOJVcwadY.jpg;;0.0;0.0;
1052937;;The Wannn Believe;16/11/2022;2022;;;0.0357;;['Drama'];Kemal Fathurrakhman;;;93.0;Released;EVOS Esports;;;;;0.0;0.0;The Wannn Believe;;https://image.tmdb.org/t/p/w500/aL9Sp1QuwzpY3M6XrYC0M1rFFzg.jpg;;0.0;0.0;13+
1050056;;Marganing Gesang;15/11/2022;2022;;;0.0538;;['Dokumenter'];Catur Panggih Raharjo;;;28.0;Released;;;;;;0.0;0.0;Marganing Gesang;;https://image.tmdb.org/t/p/w500/9x7Yco6DQCOQCgUCODK8kzNzicE.jpg;https://image.tmdb.org/t/p/original/tAsibNjXw9Dd74axRW09eCcznzZ.jpg;0.0;0.0;SU
1052874;;KOESNO, Jati Diri Soekarno;13/08/2022;2022;;;0.0168;;['Dokumenter'];Faizal Anwar;;;25.0;Released;TVRI;;;;;10.0;1.0;KOESNO, Jati Diri Soekarno;;https://image.tmdb.org/t/p/w500/f06ftIsxdVxCYcgDAhUmEi7B0Bk.jpg;https://image.tmdb.org/t/p/original/jiW7IBPyfSrSIacDErVGK2ToPST.jpg;10.0;1.0;SU
1128785;;Dua Jiwa;20/04/2022;2022;;;0.0423;;['Kengerian, Percintaan'];Rama DeRanau;;;18.0;Released;Aura Acting Class;;;;;0.0;0.0;Dua Jiwa;Tanpa sadar Wira mengucapkan kata-kata yang membuat trauma Anya muncul lagi. Hal tersebut membuat kepribadian ganda Anya kambuh lagi.  Full movie:;;;0.0;0.0;
" https://karyakarsa.com/IndonesianIndieMovie/film-thriller-dua-j""";https://image.tmdb.org/t/p/w500/66bbZmkyScHt3pBRpmsbB8dKjc4.jpg;https://image.tmdb.org/t/p/original/bfVPXbUd8Z4EI6IR2DM6FGjSbfh.jpg;0.0;0.0;;;;;;;;;;;;;;;;0.0;0.0;;;;;0.0;0.0;
1050063;;Tano Na Uli, Hagodanganki;19/11/2022;2022;;;0.0343;;['Dokumenter'];Moses Parlindungan O.;;;64.0;Released;;;;;;0.0;0.0;Tano Na Uli, Hagodanganki;;https://image.tmdb.org/t/p/w500/u5EpZP6w2uQDbIz2IbYXI6u5LC.jpg;https://image.tmdb.org/t/p/original/hfiFukfvgkzXw1ND7GbYa3Gs10E.jpg;0.0;0.0;
1292368;;HIBOB;21/03/2022;2022;;;0.0327;;[];Alexander Sinaga;;;24.0;Released;;;;;;0.0;0.0;HIBOB;;https://image.tmdb.org/t/p/w500/h5ULmvdOMylHXblBFOKhAhdmMQj.jpg;https://image.tmdb.org/t/p/original/lhBjzmWrNomWrorNLohLKohkbiN.jpg;0.0;0.0;
1060612;;Made in Madness;27/11/2022;2022;;;0.0264;;['Drama'];Richard Farrel;;;15.0;Released;Tomcat Collective;;;;;0.0;0.0;Made in Madness;;https://image.tmdb.org/t/p/w500/4glZG1qTVDHbn4EjqfpHLt1mgMn.jpg;;0.0;0.0;
1211011;;Preman: Silent Fury;27/09/2022;2022;;;0.0382;;[];Tidak Diketahui;;;0.0;Released;;;;;;0.0;0.0;Preman: Silent Fury;;https://image.tmdb.org/t/p/w500/9SYREgi5ULbk7GN5VxCrUItYMG6.jpg;https://image.tmdb.org/t/p/original/gruNF1g5QWUeTo5H7salF853yFi.jpg;0.0;0.0;
1052807;;Cinta Ada Karenamu;06/06/2022;2022;;;0.0621;;['Drama'];Rindra Panca;;;72.0;Released;Safah Create Sinema;;;;;0.0;0.0;Cinta Ada Karenamu;;https://image.tmdb.org/t/p/w500/sEUYPSp0BNUZ5T9Mvytj0PAR5b6.jpg;;0.0;0.0;13+
1042210;;Petang di Taman;31/01/2022;2022;;;0.0214;;['Drama'];Iwan Burnani Toni;;;0.0;Released;Citrus Sinema;;;;;0.0;0.0;Petang di Taman;;https://image.tmdb.org/t/p/w500/m61XtOCaEvUwz7tpE6M7AT6ypW6.jpg;https://image.tmdb.org/t/p/original/cUmUyBoICHoEj1nGrgTxTXyT8QF.jpg;0.0;0.0;
1070955;;Cold Body;12/11/2022;2022;;;0.0214;;['Misteri, Cerita Seru'];Lantip Abdullah;;;7.0;Released;;;;;;0.0;0.0;Cold Body;;;;0.0;0.0;17+
1016790;;Homebound;31/08/2022;2022;;;0.0286;;['Dokumenter, Animasi'];Ismail Fahmi Lubis;;;17.0;Released;Two Islands Digital;;;;;0.0;0.0;Homebound;;https://image.tmdb.org/t/p/w500/cTxYbGwMn7radawWTWMkJqxwaQa.jpg;https://image.tmdb.org/t/p/original/ke1e93jXFnKp0zS8uwysoUYgMti.jpg;0.0;0.0;
1004984;;Gue Pengen Lu Nganterin Nih Barang Ngelintasin Waktu Pake Kendaraan Waktu Lu;31/12/2022;2022;;;0.0214;;['Cerita Fiksi'];Beny Kristia;;;19.0;Released;;;;;;0.0;0.0;Gue Pengen Lu Nganterin Nih Barang Ngelintasin Waktu Pake Kendaraan Waktu Lu;;https://image.tmdb.org/t/p/w500/c3OIKPHFnOtAIiF4I5xrjjS0JGr.jpg;;0.0;0.0;
1071725;;Kiamat Sampah;25/07/2022;2022;;;0.0168;;['Dokumenter'];Enggar Asfinsani;;;18.0;Released;Sisa Tanah Films;;;;;0.0;0.0;Kiamat Sampah;Pandemi telah mengubah banyak hal. Termasuk Alfia, ia adalah seorang guru yang mendapatkan banyak pembelajaran dari fenomena yang ia lihat. Baginya, sampah sudah tidak pantas lagi dibuang pada tempatnya.;https://image.tmdb.org/t/p/w500/oaHO0J1799XA77ShAb69v9Bi38L.jpg;https://image.tmdb.org/t/p/original/vdLQiFiQ2oh3wTAlKiXN9PufcQS.jpg;0.0;0.0;SU
